                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1344,                 2.9505,                 1.5432,                  0.005,                      1,                0.57094,                0.47652,                0.87063,                 3.3441,                 1.3687,             0.00011669,             0.00011669,             0.00011669
                      2,                0.99144,                 2.2588,                 1.4346,                0.98253,                0.45455,                 0.7884,                0.60069,                0.93948,                 2.9097,                 1.4605,             0.00024757,             0.00024757,             0.00024757
                      3,                0.99072,                 1.7009,                 1.4125,                0.92266,                0.33333,                0.90979,                0.68682,                0.98902,                 2.6471,                 1.4797,             0.00037582,             0.00037582,             0.00037582
                      4,                 1.0028,                 1.5313,                 1.3759,                0.96839,                0.52569,                0.78126,                 0.5516,                 1.2048,                 2.7276,                 1.6891,             0.00050142,             0.00050142,             0.00050142
                      5,                0.97495,                 1.4357,                 1.3667,                0.61267,                0.61818,                  0.622,                0.46021,                 1.6278,                  2.757,                 2.4109,             0.00062438,             0.00062438,             0.00062438
                      6,                 1.0027,                 1.4087,                 1.3937,                0.68528,                0.84657,                0.75938,                0.56182,                  1.121,                 2.2942,                  1.545,             0.00074471,             0.00074471,             0.00074471
                      7,                0.96162,                 1.3698,                 1.3359,                0.78324,                0.82539,                0.81141,                0.57086,                 1.2527,                 1.9696,                 1.8123,             0.00086239,             0.00086239,             0.00086239
                      8,                0.94005,                 1.3321,                  1.304,                0.90585,                0.70455,                0.82656,                 0.5891,                 1.0812,                 1.8836,                 1.5107,             0.00097743,             0.00097743,             0.00097743
                      9,                0.92231,                 1.2098,                 1.2993,                0.88302,                0.59343,                0.71867,                0.51659,                 1.1523,                 2.2303,                 1.5692,              0.0010898,              0.0010898,              0.0010898
                     10,                0.91281,                  1.209,                 1.2638,                0.74169,                0.64899,                0.71915,                0.51922,                 1.2415,                 1.9601,                 1.7364,              0.0011996,              0.0011996,              0.0011996
                     11,                0.94684,                 1.1755,                 1.2505,                 0.6808,                0.77457,                0.73011,                0.53675,                 1.0904,                 1.8987,                 1.4667,              0.0013067,              0.0013067,              0.0013067
                     12,                0.91106,                 1.1474,                 1.2654,                0.84176,                0.78788,                0.80668,                0.59326,                  1.082,                 2.1777,                 1.5612,              0.0014112,              0.0014112,              0.0014112
                     13,                0.90858,                 1.0957,                 1.2536,                0.75059,                0.67677,                0.68735,                0.54137,                 1.0296,                 1.9899,                 1.5086,               0.001469,               0.001469,               0.001469
                     14,                0.95392,                 1.1287,                  1.261,                0.79995,                0.70455,                0.74773,                0.52347,                 1.2925,                 2.2195,                 1.6949,              0.0014525,              0.0014525,              0.0014525
                     15,                0.88727,                 1.0895,                 1.2545,                0.77625,                 0.7601,                0.80927,                 0.5864,                 1.0436,                 1.7516,                 1.4489,               0.001436,               0.001436,               0.001436
                     16,                0.90829,                 1.0361,                 1.2593,                0.69892,                0.76135,                0.67066,                0.50193,                 1.3541,                 2.4712,                 1.7987,              0.0014195,              0.0014195,              0.0014195
                     17,                0.93206,                 1.1045,                 1.2541,                0.75639,                0.81329,                0.83848,                0.61522,                 1.1565,                  2.272,                 1.5959,              0.0014029,              0.0014029,              0.0014029
                     18,                0.89033,                  1.034,                 1.2568,                0.57518,                0.82576,                0.73924,                0.53975,                 1.2428,                 2.5772,                 1.6488,              0.0013864,              0.0013864,              0.0013864
                     19,                 0.8811,                0.97595,                 1.2647,                0.67451,                0.78788,                0.63951,                0.46853,                 1.2497,                 2.0246,                 1.5744,              0.0013699,              0.0013699,              0.0013699
                     20,                 0.8725,                0.94149,                  1.199,                0.64404,                0.73232,                0.61821,                0.48372,                 1.2674,                 1.9575,                 1.7539,              0.0013534,              0.0013534,              0.0013534
